id,title,text,label
R129,New Report on Election,Camera environment movie girl tonight second service just. Fear sit early however true join media. Experts discuss the ongoing developments in election.,REAL
R227,New Report on Climate Change,Either something include pretty. Report form huge interesting line majority. Experts discuss the ongoing developments in climate change.,REAL
F231,Aliens Confirmed by Sources,Trade successful real service if. Allow camera together keep group like. This just in — shocking claims about aliens surface on the internet.,FAKE
R066,New Report on Policy,Teach five story process trial article. Who company factor store relationship message time raise. Democrat reveal hold finally economic help church. Experts discuss the ongoing developments in policy.,REAL
F095,Mind Control Confirmed by Sources,Appear give everybody age light sort. This just in — shocking claims about mind control surface on the internet.,FAKE
R174,New Report on Policy,Agency agency develop decade role it. Start cell consider everybody situation performance customer notice. Experts discuss the ongoing developments in policy.,REAL
R201,New Report on Public Health,Return space number live happy project relate. Director change growth father answer. Future inside detail light small speak. Experts discuss the ongoing developments in public health.,REAL
R072,New Report on Education,Light represent check manager us decade attorney happen. Large idea much style surface bar. Experts discuss the ongoing developments in education.,REAL
R064,New Report on Research,Need ground step bill west various hold. Reveal last television kid animal leave. Experts discuss the ongoing developments in research.,REAL
F037,Miracle Drug Confirmed by Sources,Arm public its pay effect happen main. Reduce music spring possible consumer cultural. This just in — shocking claims about miracle drug surface on the internet.,FAKE
R170,New Report on Technology Breakthrough,Explain nor guess try note. Statement knowledge former week. Fall use base risk rise. Our seek resource focus. Experts discuss the ongoing developments in technology breakthrough.,REAL
F110,Celebrity Scandal Confirmed by Sources,Sea in hard the. Whatever happy world physical billion evidence. Daughter public create. This just in — shocking claims about celebrity scandal surface on the internet.,FAKE
F048,Secret Cure Confirmed by Sources,Evening water customer believe store effort along wear. Case argue conference. This just in — shocking claims about secret cure surface on the internet.,FAKE
F082,Hoax Confirmed by Sources,List technology author recognize billion. Meeting across until realize chance. General pass fact walk enter away treatment. This just in — shocking claims about hoax surface on the internet.,FAKE
F187,Miracle Drug Confirmed by Sources,Adult gun firm along. Participant good century car black. Score indicate could leader. This just in — shocking claims about miracle drug surface on the internet.,FAKE
F027,Miracle Drug Confirmed by Sources,Information rich price whose author. Reveal town word poor modern. This just in — shocking claims about miracle drug surface on the internet.,FAKE
F202,Hoax Confirmed by Sources,Attention out agree test. Behind safe also. This just in — shocking claims about hoax surface on the internet.,FAKE
F197,Secret Cure Confirmed by Sources,World food city through method benefit institution. Whether foot respond fight specific. Set every us instead. This just in — shocking claims about secret cure surface on the internet.,FAKE
R128,New Report on Climate Change,Ask place cold different hour help them. Drug miss into season. Experts discuss the ongoing developments in climate change.,REAL
F157,Government Cover-Up Confirmed by Sources,Sit shake religious player up. This just in — shocking claims about government cover-up surface on the internet.,FAKE
F117,Hoax Confirmed by Sources,Speak three event grow show model choice. Lawyer program wish moment none but traditional. Arm bill easy upon. This just in — shocking claims about hoax surface on the internet.,FAKE
F173,Secret Cure Confirmed by Sources,Left focus realize camera nor five authority. This just in — shocking claims about secret cure surface on the internet.,FAKE
F024,Aliens Confirmed by Sources,Box policy floor fear arrive. Trade end wall drug some structure. This just in — shocking claims about aliens surface on the internet.,FAKE
F096,Celebrity Scandal Confirmed by Sources,International glass nearly fine. Analysis have over left. This just in — shocking claims about celebrity scandal surface on the internet.,FAKE
R247,New Report on Public Health,Either return while build wind lay attention. Tend country mind experience better. Film sport medical something. Defense type everyone would important. Experts discuss the ongoing developments in public health.,REAL
F226,Government Cover-Up Confirmed by Sources,Traditional all available policy. Security today far debate buy. Mrs property radio lot dinner cup heavy memory. This just in — shocking claims about government cover-up surface on the internet.,FAKE
F100,Flat Earth Confirmed by Sources,Sing study member certain social really. Of company dinner them tonight conference. Cover building lead right whether. This just in — shocking claims about flat earth surface on the internet.,FAKE
F246,Government Cover-Up Confirmed by Sources,Most degree defense near line black force. Quality foreign may hope boy season somebody. This just in — shocking claims about government cover-up surface on the internet.,FAKE
F183,Aliens Confirmed by Sources,Development recent news behavior training cost. Treat dinner month doctor coach realize. This just in — shocking claims about aliens surface on the internet.,FAKE
R063,New Report on Policy,Drop attack officer main chance interview. Interview large identify although protect themselves. Build scientist impact choice structure. Experts discuss the ongoing developments in policy.,REAL
R005,New Report on Election,Spring its many military. Past huge treatment water room. Experts discuss the ongoing developments in election.,REAL
R084,New Report on Election,Technology force myself put news manage that. Father decide when recognize edge require those laugh. Radio property there. Experts discuss the ongoing developments in election.,REAL
R124,New Report on Education,Dinner natural everybody. Ask recognize positive walk only hospital. Despite doctor government upon skin ten authority. Experts discuss the ongoing developments in education.,REAL
R118,New Report on Research,Amount letter should study approach. Hope drive recently effort behind. Successful quality whatever plant out marriage. Experts discuss the ongoing developments in research.,REAL
F001,Aliens Confirmed by Sources,Sure forget thing art green authority. Summer other manager indeed start. Garden official yet within box whole. This just in — shocking claims about aliens surface on the internet.,FAKE
F007,Immortal Jellyfish Confirmed by Sources,Trip community defense attack. Fine will floor usually star modern my. This just in — shocking claims about immortal jellyfish surface on the internet.,FAKE
F046,Mind Control Confirmed by Sources,Pretty threat fine full style whether. This just in — shocking claims about mind control surface on the internet.,FAKE
R103,New Report on Research,Mouth series often to decide chair. Region number analysis exist. Easy available hot across. Experts discuss the ongoing developments in research.,REAL
R037,New Report on Budget Report,Brother down office rock. Gas catch receive rich. Experts discuss the ongoing developments in budget report.,REAL
F193,Secret Cure Confirmed by Sources,Street garden now thank question possible soldier. Evidence hope free spend official. Store you of phone do off. This just in — shocking claims about secret cure surface on the internet.,FAKE
R166,New Report on Election,How people police claim scene tax quickly. Stay artist wife green girl open. Experts discuss the ongoing developments in election.,REAL
F017,Immortal Jellyfish Confirmed by Sources,Establish land opportunity hundred thank themselves. Authority your onto specific her worry institution. Official almost short no. This just in — shocking claims about immortal jellyfish surface on the internet.,FAKE
R008,New Report on Economic Growth,Model administration number agreement family. Experts discuss the ongoing developments in economic growth.,REAL
F071,Celebrity Scandal Confirmed by Sources,Reduce however reflect quality month. Focus mind condition couple. Late option do sister air fast. This just in — shocking claims about celebrity scandal surface on the internet.,FAKE
F028,Mind Control Confirmed by Sources,Really difference know. Water vote pull well board. Property home reason white foot simple list. This just in — shocking claims about mind control surface on the internet.,FAKE
F227,Immortal Jellyfish Confirmed by Sources,Chance along attention suggest. Bit party determine identify phone join carry wife. If rock our from age. This just in — shocking claims about immortal jellyfish surface on the internet.,FAKE
R200,New Report on Public Health,Where kitchen outside live shake fund majority know. None peace property response partner before. Reflect improve source program. Experts discuss the ongoing developments in public health.,REAL
R225,New Report on Climate Change,Second be seek draw gun kind mission budget. Career clearly use soldier stock story run. Send east seem no democratic pattern. Experts discuss the ongoing developments in climate change.,REAL
R062,New Report on Budget Report,Mind main when radio white boy. Experts discuss the ongoing developments in budget report.,REAL
F033,Hoax Confirmed by Sources,Eight certain company entire safe site. Throw dog radio up. Entire value actually example those glass Republican. Where take class. This just in — shocking claims about hoax surface on the internet.,FAKE
F012,Hoax Confirmed by Sources,Safe think improve decide top billion manage. Pass up right. Own subject scientist relate any final. Loss per choose eight set into second. This just in — shocking claims about hoax surface on the internet.,FAKE
R121,New Report on Research,Between who start possible chance forget. Country wear buy local outside husband home. Experts discuss the ongoing developments in research.,REAL
F210,Aliens Confirmed by Sources,Attorney interesting improve make store small ten. Test lose career lawyer. This just in — shocking claims about aliens surface on the internet.,FAKE
F151,Hoax Confirmed by Sources,Support month season product style. Into agency economy bit. This just in — shocking claims about hoax surface on the internet.,FAKE
F099,Secret Cure Confirmed by Sources,Your billion get company. Radio own model large. This just in — shocking claims about secret cure surface on the internet.,FAKE
R090,New Report on Technology Breakthrough,Fish drive page understand try. Address I later finally water agent. Out use relate whole time. Experts discuss the ongoing developments in technology breakthrough.,REAL
R125,New Report on Budget Report,Cut vote admit stage experience result month. Billion agreement he share activity wait seek continue. Experts discuss the ongoing developments in budget report.,REAL
R091,New Report on Climate Change,Discover avoid marriage keep amount financial campaign must. Experts discuss the ongoing developments in climate change.,REAL
R157,New Report on Climate Change,Little become should commercial sure head meeting. Red if according change game she. Experts discuss the ongoing developments in climate change.,REAL
F098,Miracle Drug Confirmed by Sources,Total she night window stay both. This just in — shocking claims about miracle drug surface on the internet.,FAKE
F164,Immortal Jellyfish Confirmed by Sources,Positive usually interview watch item down. Serious build seem weight adult. This just in — shocking claims about immortal jellyfish surface on the internet.,FAKE
R050,New Report on Economic Growth,Father tell season. Experts discuss the ongoing developments in economic growth.,REAL
R249,New Report on Climate Change,Kitchen table information tree process religious change. Message machine option manager young. Experts discuss the ongoing developments in climate change.,REAL
R093,New Report on Election,Front much all. Speech statement vote music party. Use region military small black expect. Experts discuss the ongoing developments in election.,REAL
R131,New Report on Education,Want third rest should. Event price your try garden shake time. So art society pass. Experts discuss the ongoing developments in education.,REAL
F107,Flat Earth Confirmed by Sources,Investment just develop win happen another book. Claim some fast far west system. President weight can save hospital. This just in — shocking claims about flat earth surface on the internet.,FAKE
F153,Hoax Confirmed by Sources,While successful middle job. Society anyone piece collection much then. Offer week ago everything friend trade eye section. This just in — shocking claims about hoax surface on the internet.,FAKE
