id,title,filtered_words,label
R129,New Report on Election,"['camera', 'environment', 'movie', 'girl', 'tonight', 'second', 'service', 'just.', 'fear', 'sit', 'early', 'however', 'true', 'join', 'media.', 'experts', 'discuss', 'ongoing', 'developments', 'election.']",REAL
R227,New Report on Climate Change,"['either', 'something', 'include', 'pretty.', 'report', 'form', 'huge', 'interesting', 'line', 'majority.', 'experts', 'discuss', 'ongoing', 'developments', 'climate', 'change.']",REAL
F231,Aliens Confirmed by Sources,"['trade', 'successful', 'real', 'service', 'if.', 'allow', 'camera', 'together', 'keep', 'group', 'like.', '—', 'shocking', 'claims', 'aliens', 'surface', 'internet.']",FAKE
R066,New Report on Policy,"['teach', 'five', 'story', 'process', 'trial', 'article.', 'company', 'factor', 'store', 'relationship', 'message', 'time', 'raise.', 'democrat', 'reveal', 'hold', 'finally', 'economic', 'help', 'church.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']",REAL
F095,Mind Control Confirmed by Sources,"['appear', 'give', 'everybody', 'age', 'light', 'sort.', '—', 'shocking', 'claims', 'mind', 'control', 'surface', 'internet.']",FAKE
R174,New Report on Policy,"['agency', 'agency', 'develop', 'decade', 'role', 'it.', 'start', 'cell', 'consider', 'everybody', 'situation', 'performance', 'customer', 'notice.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']",REAL
R201,New Report on Public Health,"['return', 'space', 'number', 'live', 'happy', 'project', 'relate.', 'director', 'change', 'growth', 'father', 'answer.', 'future', 'inside', 'detail', 'light', 'small', 'speak.', 'experts', 'discuss', 'ongoing', 'developments', 'public', 'health.']",REAL
R072,New Report on Education,"['light', 'represent', 'check', 'manager', 'us', 'decade', 'attorney', 'happen.', 'large', 'idea', 'much', 'style', 'surface', 'bar.', 'experts', 'discuss', 'ongoing', 'developments', 'education.']",REAL
R064,New Report on Research,"['need', 'ground', 'step', 'bill', 'west', 'various', 'hold.', 'reveal', 'last', 'television', 'kid', 'animal', 'leave.', 'experts', 'discuss', 'ongoing', 'developments', 'research.']",REAL
F037,Miracle Drug Confirmed by Sources,"['arm', 'public', 'pay', 'effect', 'happen', 'main.', 'reduce', 'music', 'spring', 'possible', 'consumer', 'cultural.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']",FAKE
R170,New Report on Technology Breakthrough,"['explain', 'guess', 'try', 'note.', 'statement', 'knowledge', 'former', 'week.', 'fall', 'use', 'base', 'risk', 'rise.', 'seek', 'resource', 'focus.', 'experts', 'discuss', 'ongoing', 'developments', 'technology', 'breakthrough.']",REAL
F110,Celebrity Scandal Confirmed by Sources,"['sea', 'hard', 'the.', 'whatever', 'happy', 'world', 'physical', 'billion', 'evidence.', 'daughter', 'public', 'create.', '—', 'shocking', 'claims', 'celebrity', 'scandal', 'surface', 'internet.']",FAKE
F048,Secret Cure Confirmed by Sources,"['evening', 'water', 'customer', 'believe', 'store', 'effort', 'along', 'wear.', 'case', 'argue', 'conference.', '—', 'shocking', 'claims', 'secret', 'cure', 'surface', 'internet.']",FAKE
F082,Hoax Confirmed by Sources,"['list', 'technology', 'author', 'recognize', 'billion.', 'meeting', 'across', 'realize', 'chance.', 'general', 'pass', 'fact', 'walk', 'enter', 'away', 'treatment.', '—', 'shocking', 'claims', 'hoax', 'surface', 'internet.']",FAKE
F187,Miracle Drug Confirmed by Sources,"['adult', 'gun', 'firm', 'along.', 'participant', 'good', 'century', 'car', 'black.', 'score', 'indicate', 'leader.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']",FAKE
F027,Miracle Drug Confirmed by Sources,"['information', 'rich', 'price', 'whose', 'author.', 'reveal', 'town', 'word', 'poor', 'modern.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']",FAKE
F202,Hoax Confirmed by Sources,"['attention', 'agree', 'test.', 'behind', 'safe', 'also.', '—', 'shocking', 'claims', 'hoax', 'surface', 'internet.']",FAKE
F197,Secret Cure Confirmed by Sources,"['world', 'food', 'city', 'method', 'benefit', 'institution.', 'whether', 'foot', 'respond', 'fight', 'specific.', 'set', 'every', 'us', 'instead.', '—', 'shocking', 'claims', 'secret', 'cure', 'surface', 'internet.']",FAKE
R128,New Report on Climate Change,"['ask', 'place', 'cold', 'different', 'hour', 'help', 'them.', 'drug', 'miss', 'season.', 'experts', 'discuss', 'ongoing', 'developments', 'climate', 'change.']",REAL
F157,Government Cover-Up Confirmed by Sources,"['sit', 'shake', 'religious', 'player', 'up.', '—', 'shocking', 'claims', 'government', 'cover-up', 'surface', 'internet.']",FAKE
F117,Hoax Confirmed by Sources,"['speak', 'three', 'event', 'grow', 'show', 'model', 'choice.', 'lawyer', 'program', 'wish', 'moment', 'none', 'traditional.', 'arm', 'bill', 'easy', 'upon.', '—', 'shocking', 'claims', 'hoax', 'surface', 'internet.']",FAKE
F173,Secret Cure Confirmed by Sources,"['left', 'focus', 'realize', 'camera', 'five', 'authority.', '—', 'shocking', 'claims', 'secret', 'cure', 'surface', 'internet.']",FAKE
F024,Aliens Confirmed by Sources,"['box', 'policy', 'floor', 'fear', 'arrive.', 'trade', 'end', 'wall', 'drug', 'structure.', '—', 'shocking', 'claims', 'aliens', 'surface', 'internet.']",FAKE
F096,Celebrity Scandal Confirmed by Sources,"['international', 'glass', 'nearly', 'fine.', 'analysis', 'left.', '—', 'shocking', 'claims', 'celebrity', 'scandal', 'surface', 'internet.']",FAKE
R247,New Report on Public Health,"['either', 'return', 'build', 'wind', 'lay', 'attention.', 'tend', 'country', 'mind', 'experience', 'better.', 'film', 'sport', 'medical', 'something.', 'defense', 'type', 'everyone', 'important.', 'experts', 'discuss', 'ongoing', 'developments', 'public', 'health.']",REAL
F226,Government Cover-Up Confirmed by Sources,"['traditional', 'available', 'policy.', 'security', 'today', 'far', 'debate', 'buy.', 'mrs', 'property', 'radio', 'lot', 'dinner', 'cup', 'heavy', 'memory.', '—', 'shocking', 'claims', 'government', 'cover-up', 'surface', 'internet.']",FAKE
F100,Flat Earth Confirmed by Sources,"['sing', 'study', 'member', 'certain', 'social', 'really.', 'company', 'dinner', 'tonight', 'conference.', 'cover', 'building', 'lead', 'right', 'whether.', '—', 'shocking', 'claims', 'flat', 'earth', 'surface', 'internet.']",FAKE
F246,Government Cover-Up Confirmed by Sources,"['degree', 'defense', 'near', 'line', 'black', 'force.', 'quality', 'foreign', 'may', 'hope', 'boy', 'season', 'somebody.', '—', 'shocking', 'claims', 'government', 'cover-up', 'surface', 'internet.']",FAKE
F183,Aliens Confirmed by Sources,"['development', 'recent', 'news', 'behavior', 'training', 'cost.', 'treat', 'dinner', 'month', 'doctor', 'coach', 'realize.', '—', 'shocking', 'claims', 'aliens', 'surface', 'internet.']",FAKE
R063,New Report on Policy,"['drop', 'attack', 'officer', 'main', 'chance', 'interview.', 'interview', 'large', 'identify', 'although', 'protect', 'themselves.', 'build', 'scientist', 'impact', 'choice', 'structure.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']",REAL
R005,New Report on Election,"['spring', 'many', 'military.', 'past', 'huge', 'treatment', 'water', 'room.', 'experts', 'discuss', 'ongoing', 'developments', 'election.']",REAL
R084,New Report on Election,"['technology', 'force', 'put', 'news', 'manage', 'that.', 'father', 'decide', 'recognize', 'edge', 'require', 'laugh.', 'radio', 'property', 'there.', 'experts', 'discuss', 'ongoing', 'developments', 'election.']",REAL
R124,New Report on Education,"['dinner', 'natural', 'everybody.', 'ask', 'recognize', 'positive', 'walk', 'hospital.', 'despite', 'doctor', 'government', 'upon', 'skin', 'ten', 'authority.', 'experts', 'discuss', 'ongoing', 'developments', 'education.']",REAL
R118,New Report on Research,"['amount', 'letter', 'study', 'approach.', 'hope', 'drive', 'recently', 'effort', 'behind.', 'successful', 'quality', 'whatever', 'plant', 'marriage.', 'experts', 'discuss', 'ongoing', 'developments', 'research.']",REAL
F001,Aliens Confirmed by Sources,"['sure', 'forget', 'thing', 'art', 'green', 'authority.', 'summer', 'manager', 'indeed', 'start.', 'garden', 'official', 'yet', 'within', 'box', 'whole.', '—', 'shocking', 'claims', 'aliens', 'surface', 'internet.']",FAKE
F007,Immortal Jellyfish Confirmed by Sources,"['trip', 'community', 'defense', 'attack.', 'fine', 'floor', 'usually', 'star', 'modern', 'my.', '—', 'shocking', 'claims', 'immortal', 'jellyfish', 'surface', 'internet.']",FAKE
F046,Mind Control Confirmed by Sources,"['pretty', 'threat', 'fine', 'full', 'style', 'whether.', '—', 'shocking', 'claims', 'mind', 'control', 'surface', 'internet.']",FAKE
R103,New Report on Research,"['mouth', 'series', 'often', 'decide', 'chair.', 'region', 'number', 'analysis', 'exist.', 'easy', 'available', 'hot', 'across.', 'experts', 'discuss', 'ongoing', 'developments', 'research.']",REAL
R037,New Report on Budget Report,"['brother', 'office', 'rock.', 'gas', 'catch', 'receive', 'rich.', 'experts', 'discuss', 'ongoing', 'developments', 'budget', 'report.']",REAL
F193,Secret Cure Confirmed by Sources,"['street', 'garden', 'thank', 'question', 'possible', 'soldier.', 'evidence', 'hope', 'free', 'spend', 'official.', 'store', 'phone', 'off.', '—', 'shocking', 'claims', 'secret', 'cure', 'surface', 'internet.']",FAKE
R166,New Report on Election,"['people', 'police', 'claim', 'scene', 'tax', 'quickly.', 'stay', 'artist', 'wife', 'green', 'girl', 'open.', 'experts', 'discuss', 'ongoing', 'developments', 'election.']",REAL
F017,Immortal Jellyfish Confirmed by Sources,"['establish', 'land', 'opportunity', 'hundred', 'thank', 'themselves.', 'authority', 'onto', 'specific', 'worry', 'institution.', 'official', 'almost', 'short', 'no.', '—', 'shocking', 'claims', 'immortal', 'jellyfish', 'surface', 'internet.']",FAKE
